Date,Open,High,Low,Close,Adj Close,Volume
2010-04-19,111.480003,111.480003,111.279999,111.300003,90.580376,27700
2010-04-20,111.230003,111.250000,111.059998,111.250000,90.539703,37500
2010-04-21,111.290001,111.430000,111.220001,111.410004,90.669922,19900
2010-04-22,111.540001,111.620003,111.180000,111.190002,90.490875,33500
2010-04-23,111.050003,111.070000,110.919998,111.019997,90.352470,47600
2010-04-26,111.139999,111.230003,111.040001,111.110001,90.425781,42900
2010-04-27,111.480003,111.889999,111.389999,111.860001,91.036163,35500
2010-04-28,111.599998,111.639999,111.360001,111.480003,90.726852,81800
2010-04-29,111.510002,111.690002,111.410004,111.639999,90.857109,50600
2010-04-30,111.779999,112.040001,111.750000,111.980003,91.133835,51700
2010-05-03,111.610001,111.650002,111.470001,111.540001,90.960114,32500
2010-05-04,112.040001,112.059998,111.900002,112.000000,91.335167,106400
2010-05-05,112.370003,112.620003,112.220001,112.370003,91.636940,55100
2010-05-06,112.510002,169.690002,112.239998,113.000000,92.150749,183400
2010-05-07,113.059998,113.570000,112.769997,113.019997,92.166992,122600
2010-05-10,112.300003,112.650002,112.250000,112.470001,91.718460,133300
2010-05-11,112.680000,112.680000,112.360001,112.589996,91.816292,58100
2010-05-12,112.500000,112.550003,112.389999,112.410004,91.669571,51300
2010-05-13,112.570000,112.599998,112.260002,112.599998,91.824532,140000
2010-05-14,112.930000,113.279999,112.900002,113.129997,92.256729,115800
2010-05-17,113.110001,113.349998,112.930000,112.970001,92.126297,71300
2010-05-18,112.949997,113.489998,112.930000,113.430000,92.501366,194700
2010-05-19,113.400002,113.699997,113.320000,113.370003,92.452446,102500
2010-05-20,113.800003,114.160004,113.720001,113.940002,92.917290,146900
2010-05-21,114.480003,114.480003,113.839996,113.910004,92.892799,406200
2010-05-24,114.029999,114.150002,113.820000,113.889999,92.876526,113700
2010-05-25,114.290001,114.440002,113.940002,114.010002,92.974426,267200
2010-05-26,113.790001,113.800003,113.400002,113.800003,92.803101,111700
2010-05-27,113.309998,113.309998,113.059998,113.180000,92.297501,48600
2010-05-28,113.349998,113.690002,113.279999,113.449997,92.517700,102300
2010-06-01,113.610001,113.639999,113.320000,113.529999,92.771828,216800
2010-06-02,113.489998,113.510002,113.129997,113.160004,92.469551,352500
2010-06-03,112.910004,113.220001,112.830002,113.070000,92.395912,155100
2010-06-04,113.800003,114.000000,113.690002,113.980003,93.139557,286600
2010-06-07,113.930000,114.250000,113.900002,114.220001,93.335670,700200
