timestamp,ticker,action,quantity,exchange,price,commission
2011-12-28 00:00:00,TLT,SLD,2291,ARCA,120.64,11.455
2011-12-29 00:00:00,IEI,SLD,2000,ARCA,121.76,10.0
2011-12-29 00:00:00,TLT,BOT,2291,ARCA,120.86,11.455
2012-01-03 00:00:00,IEI,SLD,2000,ARCA,121.68,10.0
2012-01-03 00:00:00,TLT,BOT,2314,ARCA,119.43,11.57
2012-01-05 00:00:00,IEI,BOT,2000,ARCA,121.67,10.0
2012-01-05 00:00:00,TLT,SLD,2314,ARCA,117.8,11.57
2012-01-11 00:00:00,IEI,BOT,2000,ARCA,122.09,10.0
2012-01-11 00:00:00,TLT,SLD,2314,ARCA,119.86,11.57
2012-01-12 00:00:00,IEI,SLD,2000,ARCA,122.03,10.0
2012-01-12 00:00:00,TLT,BOT,2314,ARCA,119.69,11.57
2012-01-18 00:00:00,IEI,SLD,2000,ARCA,122.22,10.0
2012-01-18 00:00:00,TLT,BOT,2314,ARCA,119.97,11.57
2012-01-23 00:00:00,IEI,BOT,2000,ARCA,121.64,10.0
2012-01-23 00:00:00,TLT,SLD,2314,ARCA,116.24,11.57
2012-01-26 00:00:00,IEI,BOT,2000,ARCA,122.47,10.0
2012-01-26 00:00:00,TLT,SLD,2364,ARCA,117.71,11.82
2012-01-27 00:00:00,IEI,SLD,2000,ARCA,122.55,10.0
2012-01-27 00:00:00,TLT,BOT,2364,ARCA,118.08,11.82
2012-01-30 00:00:00,IEI,BOT,2000,ARCA,122.67,10.0
2012-01-30 00:00:00,TLT,SLD,2333,ARCA,119.47,11.665
2012-02-01 00:00:00,IEI,SLD,2000,ARCA,122.57,10.0
2012-02-01 00:00:00,TLT,BOT,2333,ARCA,119.18,11.665
2012-02-03 00:00:00,IEI,SLD,2000,ARCA,122.27,10.0
2012-02-03 00:00:00,TLT,BOT,2379,ARCA,116.57,11.895
2012-02-06 00:00:00,IEI,BOT,2000,ARCA,122.41,10.0
2012-02-06 00:00:00,TLT,SLD,2379,ARCA,117.73,11.895
2012-02-07 00:00:00,IEI,SLD,2000,ARCA,122.11,10.0
